location,total_sqft,bath,balcony,BHK,price
kengeri,1052.0,2.0,2.0,2.0,51.0
other,1632.0,3.0,0.0,4.0,140.0
haralur road,1027.0,2.0,2.0,2.0,44.0
haralur road,1140.0,2.0,2.0,2.0,58.0
other,2200.0,2.0,0.0,2.0,110.0
uttarahalli,1125.0,2.0,1.0,2.0,47.65
talaghattapura,2106.0,3.0,2.0,3.0,126.0
kanakapura,1254.0,2.0,2.0,3.0,70.0
devanahalli,775.0,1.0,0.0,1.0,39.0
other,1070.0,2.0,2.0,2.0,38.0
banashankari,1100.0,2.0,1.0,2.0,63.0
lakshminarayana pura,1180.0,2.0,1.0,2.0,75.0
other,1360.0,2.0,1.0,3.0,65.0
lakshminarayana pura,1656.0,3.0,2.0,3.0,150.0
jigani,1221.0,3.0,3.0,3.0,70.0
bannerghatta road,1215.0,2.0,1.0,2.0,68.0
hormavu,1150.0,2.0,1.0,2.0,53.11
other,1616.0,3.0,1.0,3.0,75.0
other,1475.0,3.0,1.0,3.0,80.0
gm palaya,1735.0,3.0,2.0,3.0,70.0
sarjapur,850.0,2.0,2.0,2.0,32.0
chikkalasandra,1075.0,2.0,1.0,2.0,46.76
other,1717.0,3.0,3.0,3.0,120.0
electronic city,630.0,1.0,1.0,1.0,47.0
sarjapur,3508.0,4.0,1.0,4.0,386.0
yeshwanthpur,673.0,1.0,1.0,1.0,36.85
other,1500.0,3.0,1.0,3.0,95.0
banashankari stage iii,3000.0,6.0,2.0,6.0,150.0
ambedkar nagar,1936.0,4.0,2.0,3.0,126.0
banashankari stage iii,1085.0,2.0,1.0,2.0,50.0
sarjapur,3009.0,3.0,2.0,3.0,330.0
kothannur,1206.0,2.0,1.0,2.0,48.23
banashankari,1200.0,2.0,3.0,2.0,49.0
hebbal,1645.0,3.0,2.0,3.0,117.0
kenchenahalli,1015.0,2.0,2.0,2.0,58.0
gottigere,1245.0,2.0,2.0,2.0,59.0
kaggadasapura,1105.0,2.0,1.0,2.0,39.5
other,2700.0,4.0,1.0,3.0,270.0
sarjapur  road,1929.0,3.0,1.0,3.0,103.0
harlur,1752.12,3.0,2.0,3.0,125.0
whitefield,1216.0,2.0,1.0,2.0,75.0
kengeri satellite town,920.0,2.0,3.0,2.0,39.0
other,1220.0,2.0,2.0,2.0,48.79
haralur road,1444.0,2.0,1.0,3.0,80.0
other,799.0,2.0,1.0,2.0,38.0
thanisandra,760.0,1.0,2.0,1.0,50.3
kothanur,1075.0,2.0,2.0,2.0,53.0
other,4000.0,7.0,2.0,7.0,225.0
7th phase jp nagar,1460.0,2.0,2.0,3.0,100.0
haralur road,1810.0,3.0,2.0,3.0,112.0
other,3700.0,4.0,2.0,4.0,400.0
anandapura,1151.0,2.0,1.0,2.0,43.16
electronic city phase ii,1395.0,2.0,1.0,3.0,62.78
munnekollal,1560.0,3.0,3.0,3.0,75.0
whitefield,1320.0,2.0,3.0,2.0,79.5
hennur road,1232.0,2.0,1.0,2.0,69.61
ardendale,3198.0,4.0,3.0,4.0,200.0
kr puram,4600.0,9.0,2.0,9.0,200.0
harlur,1152.0,2.0,2.0,2.0,69.0
sarjapur  road,615.0,1.0,0.0,1.0,17.835
koramangala,1130.0,2.0,2.0,2.0,63.0
jakkur,1858.0,3.0,1.0,3.0,123.0
sarjapur  road,1346.0,2.0,1.0,2.0,74.03
nri layout,1250.0,2.0,0.0,2.0,75.0
other,1500.0,2.0,2.0,3.0,89.99
haralur road,1710.0,3.0,2.0,3.0,85.0
1st phase jp nagar,839.907117,1.0,1.0,1.0,63.0
other,1200.0,3.0,2.0,3.0,110.0
ngr layout,1022.0,2.0,1.0,2.0,45.9
other,1080.0,2.0,2.0,2.0,50.0
kr puram,1001.0,2.0,2.0,2.0,30.0
marathahalli,1595.0,3.0,2.0,3.0,90.0
other,1500.0,3.0,2.0,3.0,88.0
sector 7 hsr layout,3000.0,5.0,1.0,4.0,275.0
other,1410.0,2.0,3.0,2.0,67.0
whitefield,1200.0,3.0,2.0,3.0,67.75
kalena agrahara,1222.0,2.0,3.0,2.0,48.0
other,1113.0,2.0,1.0,2.0,52.0
panathur,1713.0,3.0,1.0,3.0,120.0
hosur road,1180.0,2.0,2.0,2.0,36.5
other,970.0,2.0,1.0,2.0,40.0
other,1020.0,2.0,2.0,2.0,52.0
kogilu,1934.0,3.0,2.0,3.0,150.0
other,1942.0,3.0,1.0,3.0,155.0
other,4000.0,8.0,3.0,8.0,160.0
other,1080.0,2.0,1.0,2.0,37.8
kadugodi,1314.0,2.0,3.0,2.0,68.2
other,1507.0,3.0,1.0,3.0,80.0
hoodi,1240.0,2.0,3.0,2.0,65.0
anekal,420.0,1.0,1.0,1.0,12.5
uttarahalli,1440.0,2.0,3.0,3.0,62.0
electronic city,2435.0,4.0,3.0,4.0,119.0
electronic city,1360.0,2.0,1.0,3.0,64.99
5th phase jp nagar,552.0,1.0,1.0,1.0,23.5
kudlu gate,1535.0,3.0,2.0,3.0,86.0
7th phase jp nagar,2100.0,3.0,2.0,3.0,200.0
other,4000.0,3.0,0.0,5.0,130.0
other,2380.0,4.0,3.0,4.0,242.0
1st phase jp nagar,2065.0,4.0,1.0,3.0,210.0
cv raman nagar,1285.0,2.0,2.0,2.0,65.0
7th phase jp nagar,1040.0,2.0,1.0,2.0,41.59
banashankari,1125.0,2.0,1.0,2.0,63.0
akshaya nagar,1000.0,2.0,1.0,2.0,38.0
hennur road,2320.0,3.0,2.0,3.0,170.0
horamavu banaswadi,1448.0,4.0,0.0,3.0,118.0
sarjapur,950.0,2.0,2.0,2.0,32.5
other,1864.0,3.0,2.0,3.0,120.0
other,1750.0,3.0,2.0,3.0,100.0
kodichikkanahalli,2700.0,4.0,2.0,5.0,125.0
other,975.0,2.0,2.0,2.0,45.0
yelahanka,1315.0,2.0,3.0,2.0,75.0
hebbal,3500.0,3.0,3.0,3.0,395.0
sahakara nagar,1219.0,2.0,2.0,2.0,48.0
kambipura,1082.0,2.0,1.0,3.0,56.0
hulimavu,1021.0,2.0,1.0,2.0,76.0
other,1450.0,3.0,2.0,3.0,55.0
sarjapur  road,3900.0,4.0,3.0,4.0,300.0
akshaya nagar,1179.0,2.0,1.0,2.0,51.0
other,1650.0,2.0,1.0,3.0,52.0
kereguddadahalli,600.0,1.0,1.0,1.0,19.5
dasarahalli,1333.0,2.0,1.0,2.0,86.65
banashankari stage v,1300.0,2.0,1.0,3.0,58.5
other,3000.0,2.0,2.0,3.0,120.0
other,1200.0,2.0,2.0,2.0,39.0
yeshwanthpur,1500.0,3.0,1.0,3.0,100.0
other,1408.0,3.0,3.0,3.0,62.0
bannerghatta road,1115.0,2.0,1.0,2.0,65.12
electronics city phase 1,1595.0,3.0,2.0,3.0,75.0
raja rajeshwari nagar,1267.0,2.0,2.0,2.0,42.85
other,1220.0,2.0,2.0,2.0,52.0
harlur,1197.0,2.0,1.0,2.0,82.0
